postal_code,city,lat,long
73219,Aime,45.5556,6.6504
73210,Aime-la-Plagne,45.5556,6.6486
03360,Ainay-le-Château,46.7113,2.6924
18200,Ainay-le-Vieil,46.6666,2.552
64220,Aincille,43.1447,-1.1957
95510,Aincourt,49.0724,1.773
55110,Aincreville,49.3684,5.1214
54460,Aingeray,48.7387,6.0025
88140,Aingeville,48.2062,5.7694
52230,Aingoulaincourt,48.4554,5.2867
64130,Ainharp,43.2605,-0.9306
64220,Ainhice,43.2055,-1.1558
64250,Ainhoa,43.3069,-1.4988
70800,Ainvelle,47.8463,6.2503
88320,Ainvelle,47.9966,5.8284
80270,Airaines,49.9683,1.9427
14370,Airan,49.101,-0.152
08190,Aire,49.4809,4.1622
50680,Airel,49.2187,-1.0789
40801,Aire-sur-l'Adour,43.7025,-0.2628
40805,Aire-sur-l'Adour,43.7025,-0.2628
40800,Aire-sur-l'Adour,43.7025,-0.2628
62921,Aire-sur-la-Lys,50.6387,2.3988
62922,Aire-sur-la-Lys,50.6387,2.3988
62929,Aire-sur-la-Lys,50.6387,2.3988
62923,Aire-sur-la-Lys,50.6387,2.3988
62120,Aire-sur-la-Lys,50.6387,2.3988
60600,Airion,49.4253,2.4171
62180,Airon-Notre-Dame,50.436,1.6596
62180,Airon-Saint-Vaast,50.4321,1.6667
11320,Airoux,43.364,1.8665
79600,Airvault,46.827,-0.1379
21110,Aiserey,47.1723,5.1626
70500,Aisey-et-Richecourt,47.8895,5.9547
21400,Aisey-sur-Seine,47.7506,4.5807
02110,Aisonville-et-Bernoville,49.9338,3.5239
25360,Aïssey,47.2667,6.3333
21390,Aisy-sous-Thil,47.3931,4.2868
89390,Aisy-sur-Armançon,47.6676,4.2255
20244,Aiti,42.3991,9.2442
73220,Aiton,45.5612,6.2595
19200,Aix,45.616,2.3826
26150,Aix-en-Diois,44.7083,5.4191
62650,Aix-en-Ergny,50.5838,1.9996
62170,Aix-en-Issart,50.4762,1.8583
10160,Aix-en-Othe,48.2239,3.7342
59310,Aix-en-Pévèle,50.4896,3.2953
13604,Aix-en-Provence,43.5283,5.4497
13858,Aix-en-Provence,43.5283,5.4497
13627,Aix-en-Provence,43.5283,5.4497
13603,Aix-en-Provence,43.5283,5.4497
13602,Aix-en-Provence,43.5283,5.4497
13601,Aix-en-Provence,43.5283,5.4497
13859,Aix-en-Provence,43.5283,5.4497
13594,Aix-en-Provence,43.5283,5.4497
13101,Aix-en-Provence,43.5283,5.4497
13100,Aix-en-Provence,43.5283,5.4497
13593,Aix-en-Provence,43.5283,5.4497
13605,Aix-en-Provence,43.5283,5.4497
13628,Aix-en-Provence,43.5283,5.4497
13629,Aix-en-Provence,43.5283,5.4497
13766,Aix-en-Provence,43.5283,5.4497
13764,Aix-en-Provence,43.5283,5.4497
13592,Aix-en-Provence,43.5283,5.4497
13591,Aix-en-Provence,43.5283,5.4497
13098,Aix-en-Provence,43.5283,5.4497
13096,Aix-en-Provence,43.5283,5.4497
13547,Aix-en-Provence,43.5283,5.4497
13181,Aix-en-Provence,43.5283,5.4497
13097,Aix-en-Provence,43.5283,5.4497
13857,Aix-en-Provence,43.5283,5.4497
13792,Aix-en-Provence,43.5283,5.4497
13855,Aix-en-Provence,43.5283,5.4497
13793,Aix-en-Provence,43.5283,5.4497
13625,Aix-en-Provence,43.5283,5.4497
13621,Aix-en-Provence,43.5283,5.4497
13794,Aix-en-Provence,43.5283,5.4497
13617,Aix-en-Provence,43.5283,5.4497
13616,Aix-en-Provence,43.5283,5.4497
13626,Aix-en-Provence,43.5283,5.4497
13795,Aix-en-Provence,43.5283,5.4497
13796,Aix-en-Provence,43.5283,5.4497
13797,Aix-en-Provence,43.5283,5.4497
13612,Aix-en-Provence,43.5283,5.4497
13182,Aix-en-Provence,43.5283,5.4497
13798,Aix-en-Provence,43.5283,5.4497
13799,Aix-en-Provence,43.5283,5.4497
13609,Aix-en-Provence,43.5283,5.4497
13099,Aix-en-Provence,43.5283,5.4497
13608,Aix-en-Provence,43.5283,5.4497
13791,Aix-en-Provence,43.5283,5.4497
13851,Aix-en-Provence,43.5283,5.4497
13852,Aix-en-Provence,43.5283,5.4497
13607,Aix-en-Provence,43.5283,5.4497
13853,Aix-en-Provence,43.5283,5.4497
13854,Aix-en-Provence,43.5283,5.4497
13606,Aix-en-Provence,43.5283,5.4497
13611,Aix-en-Provence,43.5283,5.4497
13856,Aix-en-Provence,43.5283,5.4497
13546,Aix-en-Provence,43.5283,5.4497
13290,Aix-en-Provence,43.5283,5.4497
13088,Aix-en-Provence,43.5283,5.4497
13089,Aix-en-Provence,43.5283,5.4497
13095,Aix-en-Provence,43.5283,5.4497
13085,Aix-en-Provence,43.5283,5.4497
13090,Aix-en-Provence,43.5283,5.4497
13091,Aix-en-Provence,43.5283,5.4497
13080,Aix-en-Provence,43.5283,5.4497
13093,Aix-en-Provence,43.5283,5.4497
13092,Aix-en-Provence,43.5283,5.4497
13540,Aix-en-Provence,43.5283,5.4497
13545,Aix-en-Provence,43.5283,5.4497
13094,Aix-en-Provence,43.5283,5.4497
87700,Aixe-sur-Vienne,45.7966,1.1358
63980,Aix-la-Fayette,45.5169,3.5214
73107,Aix-les-Bains,45.6917,5.9086
73109,Aix-les-Bains,45.6917,5.9086
73106,Aix-les-Bains,45.6917,5.9086
73105,Aix-les-Bains,45.6917,5.9086
73104,Aix-les-Bains,45.6917,5.9086
73103,Aix-les-Bains,45.6917,5.9086
73102,Aix-les-Bains,45.6917,5.9086
73101,Aix-les-Bains,45.6917,5.9086
73100,Aix-les-Bains,45.6917,5.9086
73108,Aix-les-Bains,45.6917,5.9086
62160,Aix-Noulette,50.4257,2.7055
10160,Aix-Villemaur-Pâlis,48.2233,3.7344
10190,Aix-Villemaur-Pâlis,48.2233,3.7344
07530,Aizac,44.7197,4.3363
52120,Aizanville,48.1072,4.8956
36150,Aize,47.1038,1.7018
80240,Aizecourt-le-Bas,49.9805,3.033
80200,Aizecourt-le-Haut,49.9634,2.9833
02820,Aizelles,49.4888,3.8114
85190,Aizenay,46.7405,-1.6091
27500,Aizier,49.4302,0.6282
02370,Aizy-Jouy,49.4333,3.5167
11300,Ajac,43.0482,2.1374
20188,Ajaccio,41.9189,8.7381
20186,Ajaccio,41.9189,8.7381
20189,Ajaccio,41.9189,8.7381
20185,Ajaccio,41.9189,8.7381
20184,Ajaccio,41.9189,8.7381
20900,Ajaccio,41.9189,8.7381
20179,Ajaccio,41.9189,8.7381
20703,Ajaccio,41.9189,8.7381
20702,Ajaccio,41.9189,8.7381
20701,Ajaccio,41.9189,8.7381
20700,Ajaccio,41.9189,8.7381
20000,Ajaccio,41.9189,8.7381
20192,Ajaccio,41.9189,8.7381
20090,Ajaccio,41.9189,8.7381
20503,Ajaccio,41.9189,8.7381
20193,Ajaccio,41.9189,8.7381
20194,Ajaccio,41.9189,8.7381
20195,Ajaccio,41.9189,8.7381
20197,Ajaccio,41.9189,8.7381
20198,Ajaccio,41.9189,8.7381
20199,Ajaccio,41.9189,8.7381
20302,Ajaccio,41.9189,8.7381
20504,Ajaccio,41.9189,8.7381
20303,Ajaccio,41.9189,8.7381
20305,Ajaccio,41.9189,8.7381
20306,Ajaccio,41.9189,8.7381
20191,Ajaccio,41.9189,8.7381
20309,Ajaccio,41.9189,8.7381
20311,Ajaccio,41.9189,8.7381
20501,Ajaccio,41.9189,8.7381
20502,Ajaccio,41.9189,8.7381
20304,Ajaccio,41.9189,8.7381
20183,Ajaccio,41.9189,8.7381
20178,Ajaccio,41.9189,8.7381
20187,Ajaccio,41.9189,8.7381
20181,Ajaccio,41.9189,8.7381
20182,Ajaccio,41.9189,8.7381
20180,Ajaccio,41.9189,8.7381
20162,Ajaccio,41.9189,8.7381
20167,Ajaccio,41.9189,8.7381
20177,Ajaccio,41.9189,8.7381
20175,Ajaccio,41.9189,8.7381
20176,Ajaccio,41.9189,8.7381
20174,Ajaccio,41.9189,8.7381
23380,Ajain,46.2071,1.9971
24210,Ajat,45.1563,1.0163
57590,Ajoncourt,48.8455,6.2896
27410,Ajou,48.9781,0.7812
07000,Ajoux,44.7653,4.5005
